"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
450	Henderson County	450342	Rugby Middle	N	06,07,08	891	N/A	N/A	327	36.70	N	TAS						2015-2016	N
340	Forsyth County	340504	Rural Hall Elementary	N	PK,0K,01,02,03,04,05	660	239	1.6	382	57.88	Y	SW-SW					2014-2015	2015-2016	N
120	Burke County	120372	Rutherford College Elem	N	PK,0K,01,02,03,04,05	234	56	1.6	90	38.46	Y	TAS-SW		Always SW			2006-2007	2015-2016	Y
810	Rutherford County	810385	Rutherford Early College High School	N	09,10,11,12,13	161	N/A	N/A	47	29.19	N	Not Title I						2015-2016	Y
810	Rutherford County	810386	Rutherford Opportunity Center	N	06,07,08,09,10,11,12	115	N/A	N/A	83	72.17	N	SW						2015-2016	Y
810	Rutherford County	810388	Rutherfordton Elementary School	N	PK,0K,01,02,03,04,05	345	N/A	N/A	167	48.41	Y	SW-SW					2006-2007	2015-2016	Y
390	Granville County	390704	S Granville HS Of Health Life Sciences	N	09,10,11,12	441	N/A	N/A	144	32.65	N	Not Title I						2015-2016	N
390	Granville County	390705	S Granville HS of Integ Tech & Lead	N	09,10,11,12	451	N/A	N/A	163	36.14	N	TAS						2015-2016	N
550	Lincoln County	550360	S Ray Lowder Elementary	N	PK,0K,01,02,03	255	143	1.6	229	89.80	Y	SW-SW					2006-2007	2015-2016	Y
070	Beaufort County	070340	S W Snowden Elementary	N	PK,0K,01,02,03,04,05,06,07,08	162	100	1.6	160	98.77	Y	SW-SW					2005-2006	2015-2016	Y
190	Chatham County	190310	SAGE Academy	N	09,10,11,12	63	N/A	N/A	32	50.79	N	SW						2015-2016	N
780	Robeson County	780400	Saint Pauls Elementary	N	PK,0K,01,02,03,04,05	979	606	1.6	970	99.08	Y	SW-SW					2004-2005	2015-2016	Y
780	Robeson County	780401	Saint Pauls High	N	09,10,11,12	986	409	1.6	654	66.33	N	SW						2015-2016	Y
780	Robeson County	780403	Saint Pauls Middle	N	06,07,08	472	238	1.6	381	80.72	Y	SW-SW					2001-2002	2015-2016	Y
180	Catawba County	180372	Saint Stephens Elementary	N	0K,01,02,03,04,05,06	743	N/A	N/A	626	84.25	Y	SW-SW					2006-2007	2015-2016	N
180	Catawba County	180376	Saint Stephens High	N	09,10,11,12	1229	N/A	N/A	583	47.44	N	SW						2015-2016	N
120	Burke County	120374	Salem Elementary	N	PK,0K,01,02,03,04,05	570	141	1.6	226	39.65	Y	TAS-SW		Always SW			2006-2007	2015-2016	Y
920	Wake County	920550	Salem Elementary	N	PK,0K,01,02,03,04,05	741	N/A	N/A	205	27.67	N	Not Title I						2015-2016	N
920	Wake County	920551	Salem Middle	N	06,07,08	1260	N/A	N/A	227	18.02	N	Not Title I						2015-2016	N
820	Sampson County	820376	Salemburg Elementary	N	PK,0K,01,02,03,04,05	523	N/A	N/A	412	78.78	Y	SW-SW					2006-2007	2015-2016	N
800	Rowan County	800396	Salisbury High	N	09,10,11,12	777	N/A	N/A	533	68.60	N	SW						2015-2016	N
98A	Sallie B Howard School	98A000	Sallie B Howard School	Y	0K,01,02,03,04,05,06,07,08	821	N/A	N/A	550	66.99	Y	SW-SW					2002-2003	2015-2016	Y
750	Polk County	750320	Saluda Elementary School	N	PK,0K,01,02,03,04,05	175	78	1.6	125	71.43	Y	SW-TAS			37	0K,01,02,03,04,05	2006-2007	2015-2016	Y
740	Pitt County	740386	Sam D Bundy Elementary	N	03,04,05	387	N/A	N/A	263	67.96	Y	SW-SW					2002-2003	2015-2016	N
