"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
681	Chapel Hill-Carrboro	681326	McDougle Elementary	N	PK,0K,01,02,03,04,05	562	N/A	N/A	169	30.07	Y	TAS-TAS	125% Rule		45	01,02,03,04,05	2014-2015	2015-2016	N
681	Chapel Hill-Carrboro	681309	McDougle Middle	N	06,07,08	756	N/A	N/A	206	27.25	N	Not Title I						2015-2016	N
590	McDowell County	590393	McDowell AEC	N	06,07,08,09,10,11,12	96	49	1.6	78	81.25	N	SW						2015-2016	N
590	McDowell County	590328	McDowell Early College	N	09,10,11,12,13	215	46	1.6	74	34.42	N	Not Title I						2015-2016	N
590	McDowell County	590330	McDowell High	N	09,10,11,12	1637	594	1.6	950	58.03	N	SW						2015-2016	N
510	Johnston County	510358	McGee's Crossroads Elem	N	PK,0K,01,02,03,04,05	848	N/A	N/A	421	49.65	N	SW						2015-2016	N
510	Johnston County	510359	McGee's Crossroads Middle	N	06,07,08	894	N/A	N/A	377	42.17	N	SW						2015-2016	N
600	Mecklenburg County	600451	McKee Road Elementary	N	0K,01,02,03,04,05	513	N/A	N/A	51	9.94	N	Not Title I						2015-2016	N
410	Guilford County	410461	McLeansville Elementary	N	PK,0K,01,02,03,04,05	391	N/A	N/A	175	44.76	Y	SW-SW					2008-2009	2015-2016	Y
960	Wayne County	960344	Meadow Lane Elementary	N	PK,0K,01,02,03,04	616	N/A	N/A	411	66.72	Y	SW-SW					2006-2007	2015-2016	N
510	Johnston County	510360	Meadow School	N	PK,0K,01,02,03,04,05,06,07,08	665	N/A	N/A	362	54.44	Y	SW-SW					2005-2006	2015-2016	N
670	Onslow County	670329	Meadow View Elementary	N	0K,01,02,03,04,05	740	N/A	N/A	391	52.84	Y	SW-SW					2009-2010	2015-2016	N
850	Stokes County	850324	Meadowbrook Academy	N	06,07,08,09,10,11,12	85	N/A	N/A	60	70.59	Y	SW-SW					2009-2010	2015-2016	N
440	Haywood County	440364	Meadowbrook Elementary	N	PK,0K,01,02,03,04,05	338	N/A	N/A	224	66.27	Y	SW-SW					2006-2007	2015-2016	N
340	Forsyth County	340440	Meadowlark Elementary	N	PK,0K,01,02,03,04,05	816	84	1.6	134	16.42	N	Not Title I						2015-2016	N
340	Forsyth County	340442	Meadowlark Middle	N	06,07,08	1182	158	1.6	253	21.40	N	Not Title I						2015-2016	N
860	Surry County	860330	Meadowview Magnet Middle	N	06,07,08	389	N/A	N/A	285	73.26	Y	SW-SW					2013-2014	2015-2016	N
410	Guilford County	410463	Mendenhall Middle	N	06,07,08	820	N/A	N/A	308	37.56	N	TAS						2015-2016	N
320	Durham Public	320352	Merrick-Moore Elementary	N	PK,0K,01,02,03,04,05	704	399	1.6	638	90.63	Y	SW-SW					2002-2003	2015-2016	Y
600	Mecklenburg County	600453	Merry Oaks Elementary	N	PK,0K,01,02,03,04,05	766	N/A	N/A	540	70.50	Y	SW-SW					2006-2007	2015-2016	Y
600	Mecklenburg County	600454	Metro School	N	PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,13	258	N/A	N/A	112	43.41	Y	SW-SW					2014-2015	2015-2016	Y
60F	Metrolina Reg Scholars Academy	60F000	Metrolina Reg Scholars Academy	Y	0K,01,02,03,04,05,06,07,08	387	N/A	N/A	0	0.00	N	Not Title I						2015-2016	N
995	Yancey County	995328	Micaville Elementary	N	0K,01,02,03,04,05	166	N/A	N/A	99	59.64	Y	SW-SW					2004-2005	2015-2016	N
510	Johnston County	510372	Micro-Pine Level Elementary	N	0K,01,02,03,04,05	582	N/A	N/A	407	69.93	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110323	Middle College	N	11,12	56	N/A	N/A	26	46.43	N	SW						2015-2016	N
410	Guilford County	410399	Middle College at GTCC-GSO	N	09,10,11,12,13	124	N/A	N/A	42	33.87	N	Not Title I						2015-2016	N
410	Guilford County	410408	Middle College GTCC High Point	N	09,10,11,12,13	124	N/A	N/A	55	44.35	Y	SW-SW					2015-2016	2015-2016	N
410	Guilford County	410483	Middle College High @ NC A&T	N	09,10,11,12	101	N/A	N/A	34	33.66	N	Not Title I						2015-2016	N
410	Guilford County	410326	Middle College High at Bennett	N	09,10,11,12	103	N/A	N/A	40	38.83	N	TAS						2015-2016	Y
320	Durham Public	320353	Middle College HS @ DTCC	N	11,12	143	N/A	N/A	74	51.75	N	SW						2015-2016	N
340	Forsyth County	340446	Middle College of Forsyth Cnty	N	11,12	0	0	1.6	0	0.00	N	Not Title I						2015-2016	N
920	Wake County	920494	Middle Creek Elementary	N	PK,0K,01,02,03,04,05	862	N/A	N/A	173	20.07	N	Not Title I						2015-2016	N
920	Wake County	920495	Middle Creek High	N	09,10,11,12	2253	N/A	N/A	656	29.12	N	Not Title I						2015-2016	N
340	Forsyth County	340447	Middle Fork Elementary	N	PK,0K,01,02,03,04,05	377	230	1.6	368	97.61	Y	SW-SW					2005-2006	2015-2016	Y
640	Nash-Rocky Mount	640336	Middlesex Elementary	N	PK,0K,01,02,03,04,05	377	377	1.6	377	100.00	Y	SW-SW					2006-2007	2015-2016	Y
290	Davidson County	290344	Midway Elementary	N	PK,0K,01,02,03,04,05	486	N/A	N/A	194	39.92	N	TAS						2015-2016	N
820	Sampson County	820350	Midway Elementary	N	PK,0K,01,02,03,04,05	505	N/A	N/A	309	61.19	Y	SW-SW					2006-2007	2015-2016	N
820	Sampson County	820352	Midway High	N	09,10,11,12	690	N/A	N/A	356	51.59	N	SW						2015-2016	N
820	Sampson County	820354	Midway Middle	N	06,07,08	669	N/A	N/A	380	56.80	Y	SW-SW					2004-2005	2015-2016	N
600	Mecklenburg County	600364	Military and Global Leadership Academy	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	632	N/A	N/A	316	50.00	Y	SW-SW					2013-2014	2015-2016	Y
180	Catawba County	180352	Mill Creek Middle	N	07,08	484	N/A	N/A	186	38.43	N	TAS						2015-2016	N
800	Rowan County	800366	Millbridge Elementary	N	PK,0K,01,02,03,04,05	565	N/A	N/A	302	53.45	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920496	Millbrook Elementary	N	PK,0K,01,02,03,04,05	791	N/A	N/A	569	71.93	Y	SW-SW					2006-2007	2015-2016	N
920	Wake County	920500	Millbrook High	N	09,10,11,12	2563	N/A	N/A	807	31.49	N	Not Title I						2015-2016	N
86T	Millennium Charter Academy	86T000	Millennium Charter Academy	Y	0K,01,02,03,04,05,06,07,08,09,10	699	N/A	N/A	93	13.30	N	Not Title I						2015-2016	N
970	Wilkes County	970337	Millers Creek Elementary	N	PK,0K,01,02,03,04,05	868	N/A	N/A	385	44.35	Y	SW-SW					2006-2007	2015-2016	Y
840	Stanly County	840324	Millingport Elementary	N	PK,0K,01,02,03,04,05	263	N/A	N/A	138	52.47	Y	SW-SW					2009-2010	2015-2016	N
410	Guilford County	410466	Millis Road Elementary	N	PK,0K,01,02,03,04,05	512	N/A	N/A	141	27.54	N	Not Title I						2015-2016	N
920	Wake County	920501	Mills Park Elementary	N	PK,0K,01,02,03,04,05	1014	N/A	N/A	82	8.09	N	Not Title I						2015-2016	N
920	Wake County	920502	Mills Park Middle	N	06,07,08	1818	N/A	N/A	176	9.68	N	Not Title I						2015-2016	N
450	Henderson County	450340	Mills River Elementary	N	0K,01,02,03,04,05	536	N/A	N/A	200	37.31	Y	TAS-TAS			200	0K,01,02,03,04,05	2010-2011	2015-2016	N
980	Wilson County	980306	Milton M Daniels Learning Cntr	N	06,07,08,09,10,11,12	117	N/A	N/A	98	83.76	N	SW						2015-2016	N
340	Forsyth County	340448	Mineral Springs Elementary	N	PK,0K,01,02,03,04,05	589	425	1.6	589	100.00	Y	SW-SW					2006-2007	2015-2016	Y
770	Richmond County	770344	Mineral Springs Elementary	N	PK,0K,01,02,03,04,05	491	291	1.6	466	94.91	Y	SW-SW					2004-2005	2015-2016	Y
340	Forsyth County	340452	Mineral Springs Middle	N	06,07,08	412	276	1.6	412	100.00	Y	SW-SW					2005-2006	2015-2016	Y
600	Mecklenburg County	600455	Mint Hill Middle	N	06,07,08	1253	N/A	N/A	288	22.98	N	Not Title I						2015-2016	N
610	Mitchell County	610334	Mitchell High	N	09,10,11,12	520	N/A	N/A	247	47.50	N	SW						2015-2016	N
300	Davie County	300320	Mocksville Elementary	N	0K,01,02,03,04,05	585	N/A	N/A	344	58.80	Y	SW-SW					2006-2007	2015-2016	Y
190	Chatham County	190340	Moncure School	N	PK,0K,01,02,03,04,05,06,07,08	291	N/A	N/A	135	46.39	Y	SW-SW					2012-2013	2015-2016	N
770	Richmond County	770346	Monroe Avenue Elementary	N	PK,0K,01,02,03,04,05	466	330	1.6	466	100.00	Y	SW-SW					2006-2007	2015-2016	Y
900	Union County	900336	Monroe High	N	09,10,11,12	927	N/A	N/A	801	86.41	N	SW						2015-2016	N
900	Union County	900314	Monroe Middle	N	06,07,08	1056	N/A	N/A	920	87.12	N	SW						2015-2016	N
790	Rockingham County	790350	Monroeton Elementary	N	PK,0K,01,02,03,04,05	487	N/A	N/A	244	50.10	Y	SW-SW					2006-2007	2015-2016	Y
260	Cumberland County	260400	Montclair Elementary	N	PK,0K,01,02,03,04,05	441	260	1.6	416	94.33	Y	SW-SW					2006-2007	2015-2016	Y
600	Mecklenburg County	600459	Montclaire Elementary	N	PK,0K,01,02,03,04,05	717	N/A	N/A	404	56.35	Y	SW-SW					2006-2007	2015-2016	Y
620	Montgomery County	620310	Montgomery Learning Academy	N	06,07,08,09,10,11,12	54	N/A	N/A	49	90.74	N	SW						2015-2016	N
490	Iredell County	490342	Monticello School	N	06,07,08,09,10,11,12	169	N/A	N/A	129	76.33	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410340	Monticello-Brown Summit Elem	N	PK,0K,01,02,03,04,05	404	N/A	N/A	191	47.28	Y	SW-SW					2013-2014	2015-2016	N
410	Guilford County	410469	Montlieu Academy of Technology	N	PK,0K,01,02,03,04,05	667	N/A	N/A	474	71.06	Y	SW-SW					2006-2007	2015-2016	Y
340	Forsyth County	340453	Moore Magnet Elementary	N	PK,0K,01,02,03,04,05	618	246	1.6	394	63.75	Y	SW-SW					2014-2015	2015-2016	N
920	Wake County	920506	Moore Square Museum Magnet Middle	N	06,07,08	441	N/A	N/A	210	47.62	N	SW						2015-2016	N
491	Mooresville City	491306	Mooresville Intermediate	N	04,05,06	758	N/A	N/A	297	39.18	Y	TAS-SW		Waiver Provided			2012-2013	2015-2016	N
491	Mooresville City	491308	Mooresville Middle	N	07,08	1017	N/A	N/A	346	34.02	N	Not Title I						2015-2016	N
491	Mooresville City	491312	Mooresville Senior High	N	09,10,11,12	1759	N/A	N/A	481	27.35	N	Not Title I						2015-2016	N
970	Wilkes County	970340	Moravian Falls Elementary	N	PK,0K,01,02,03,04,05	236	N/A	N/A	134	56.78	Y	SW-SW					2006-2007	2015-2016	Y
160	Carteret County	160318	Morehead City Middle	N	06,07,08	522	N/A	N/A	222	42.53	N	SW						2015-2016	N
160	Carteret County	160322	Morehead City Primary	N	PK,0K,01,02,03	596	N/A	N/A	357	59.90	Y	SW-SW					2006-2007	2015-2016	N
160	Carteret County	160317	Morehead Elem at Camp Glenn	N	04,05	295	N/A	N/A	149	50.51	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410472	Morehead Elementary	N	0K,01,02,03,04,05	604	N/A	N/A	268	44.37	Y	SW-SW					2014-2015	2015-2016	N
320	Durham Public	320354	Morehead Montessori	N	PK,0K,01,02,03,04,05	250	N/A	N/A	84	33.60	N	Not Title I						2015-2016	N
600	Mecklenburg County	600429	Morehead STEM Academy	N	0K,01,02,03,04,05,06,07,08	1143	N/A	N/A	342	29.92	N	Not Title I						2015-2016	N
800	Rowan County	800368	Morgan Elementary	N	PK,0K,01,02,03,04,05	365	N/A	N/A	218	59.73	Y	SW-SW					2006-2007	2015-2016	N
260	Cumberland County	260401	Morganton Road Elementary	N	0K,01,02,03,04,05	495	265	1.6	424	85.66	Y	SW-SW					2005-2006	2015-2016	Y
681	Chapel Hill-Carrboro	681332	Morris Grove Elementary	N	PK,0K,01,02,03,04,05	593	N/A	N/A	142	23.95	N	Not Title I						2015-2016	N
920	Wake County	920504	Morrisville Elementary	N	0K,01,02,03,04,05	832	N/A	N/A	66	7.93	N	Not Title I						2015-2016	N
670	Onslow County	670330	Morton Elementary	N	PK,0K,01,02,03,04,05	516	N/A	N/A	258	50.00	Y	SW-SW					2006-2007	2015-2016	N
040	Anson County	040324	Morven Elementary	N	0K,01,02,03,04,05,06	237	226	1.6	237	100.00	Y	SW-SW					2003-2004	2015-2016	Y
540	Lenoir County	540320	Moss Hill Elementary	N	0K,01,02,03,04,05	469	N/A	N/A	282	60.13	Y	SW-SW					2006-2007	2015-2016	Y
790	Rockingham County	790358	Moss Street Elementary	N	PK,0K,01,02,03,04,05	438	N/A	N/A	342	78.08	Y	SW-SW					2004-2005	2015-2016	Y
862	Mount Airy City	862312	Mount Airy High	N	09,10,11,12	645	N/A	N/A	242	37.52	N	TAS						2015-2016	N
862	Mount Airy City	862316	Mount Airy Middle	N	06,07,08	422	N/A	N/A	233	55.21	N	SW						2015-2016	N
390	Granville County	390333	Mount Energy Elementary	N	PK,0K,01,02,03,04,05	357	N/A	N/A	180	50.42	Y	SW-SW					2006-2007	2015-2016	N
620	Montgomery County	620324	Mount Gilead Elementary	N	PK,0K,01,02,03,04,05	350	N/A	N/A	271	77.43	Y	SW-SW					2005-2006	2015-2016	N
360	Gaston County	360456	Mount Holly Middle	N	06,07,08	764	N/A	N/A	370	48.43	N	SW						2015-2016	N
490	Iredell County	490344	Mount Mourne School	N	06,07,08	487	N/A	N/A	21	4.31	N	Not Title I						2015-2016	N
850	Stokes County	850314	Mount Olive Elementary	N	0K,01,02,03,04,05	283	N/A	N/A	126	44.52	Y	SW-SW					2009-2010	2015-2016	N
960	Wayne County	960348	Mount Olive Middle	N	05,06,07,08	438	313	1.6	438	100.00	Y	SW-SW					2015-2016	2015-2016	Y
130	Cabarrus County	130322	Mount Pleasant Elementary	N	0K,01,02,03,04,05	640	N/A	N/A	272	42.50	N	SW						2015-2016	N
970	Wilkes County	970344	Mount Pleasant Elementary	N	PK,0K,01,02,03,04,05	246	N/A	N/A	78	31.71	Y	TAS-SW	Grandfather Rule	Always SW			2006-2007	2015-2016	Y
130	Cabarrus County	130324	Mount Pleasant High	N	09,10,11,12	800	N/A	N/A	310	38.75	N	TAS						2015-2016	N
130	Cabarrus County	130323	Mount Pleasant Middle	N	06,07,08	661	N/A	N/A	270	40.85	N	SW						2015-2016	N
340	Forsyth County	340454	Mount Tabor High School	N	09,10,11,12	1495	373	1.6	597	39.93	N	TAS						2015-2016	N
920	Wake County	920508	Mount Vernon	N	0K,01,02,03,04,05,06,07,08	143	N/A	N/A	109	76.22	Y	SW-SW					2015-2016	2015-2016	N
120	Burke County	120340	Mountain Crest Elementary	N	PK,0K,01,02,03,04,05	531	278	1.6	445	83.80	Y	SW-SW					2006-2007	2015-2016	Y
87A	Mountain Discovery	87A000	Mountain Discovery	Y	0K,01,02,03,04,05,06,07,08	185	N/A	N/A	103	55.68	Y	SW-TAS			32	0K,01,02,03,04,05,06,07,08	2006-2007	2015-2016	N
995	Yancey County	995330	Mountain Heritage High	N	09,10,11,12	673	N/A	N/A	350	52.01	N	SW						2015-2016	N
36C	Mountain Island Charter School	36C000	Mountain Island Charter School	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	1159	N/A	N/A	235	20.28	Y	TAS-TAS	Charter School		235	0K,01,02,03,04,05,06,07,08,09,10,11,12	2015-2016	2015-2016	N
600	Mecklenburg County	600462	Mountain Island Lake Academy	N	PK,0K,01,02,03,04,05,06,07	762	N/A	N/A	279	36.61	N	TAS						2015-2016	N
860	Surry County	860332	Mountain Park Elementary	N	PK,0K,01,02,03,04,05	189	N/A	N/A	149	78.84	Y	SW-SW					2006-2007	2015-2016	N
050	Ashe County	050330	Mountain View Elementary	N	PK,0K,01,02,03,04,05,06	581	N/A	N/A	368	63.34	Y	SW-SW					2003-2004	2015-2016	N
180	Catawba County	180356	Mountain View Elementary	N	PK,0K,01,02,03,04,05,06	784	N/A	N/A	337	42.98	Y	SW-SW					2014-2015	2015-2016	N
970	Wilkes County	970348	Mountain View Elementary	N	PK,0K,01,02,03,04,05	593	N/A	N/A	263	44.35	Y	SW-SW					2006-2007	2015-2016	Y
560	Macon County	560331	Mountain View Intermediate	N	05,06	580	N/A	N/A	393	67.76	Y	SW-SW					2010-2011	2015-2016	N
270	Currituck County	270316	Moyock Elementary	N	0K,01,02,03,04,05	487	N/A	N/A	110	22.59	N	Not Title I						2015-2016	N
270	Currituck County	270318	Moyock Middle	N	06,07,08	564	N/A	N/A	161	28.55	N	Not Title I						2015-2016	N
800	Rowan County	800372	Mt Ulla Elementary	N	0K,01,02,03,04,05	313	N/A	N/A	195	62.30	Y	SW-SW					2006-2007	2015-2016	N
810	Rutherford County	810364	Mt Vernon-Ruth Elementary School	N	PK,0K,01,02,03,04,05	288	N/A	N/A	168	58.33	Y	SW-SW					2006-2007	2015-2016	Y
970	Wilkes County	970352	Mulberry Elementary	N	PK,0K,01,02,03,04,05	480	N/A	N/A	264	55.00	Y	SW-SW					2003-2004	2015-2016	Y
120	Burke County	120360	Mull Elementary	N	PK,0K,01,02,03,04,05	309	108	1.6	173	55.99	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410478	Murphey Traditional Academy	N	P3,0K,01,02,03,04,05	297	N/A	N/A	195	65.66	Y	SW-SW					2006-2007	2015-2016	Y
200	Cherokee County	200324	Murphy Elementary	N	PK,0K,01,02,03,04,05	464	254	1.6	406	87.50	Y	SW-SW					2006-2007	2015-2016	Y
200	Cherokee County	200328	Murphy High	N	09,10,11,12	430	154	1.6	246	57.21	N	SW						2015-2016	Y
200	Cherokee County	200330	Murphy Middle	N	06,07,08	371	165	1.6	264	71.16	N	SW						2015-2016	Y
650	New Hanover County	650348	Murrayville Elementary	N	0K,01,02,03,04,05	713	210	1.6	336	47.12	Y	SW-SW					2006-2007	2015-2016	N
600	Mecklenburg County	600466	Myers Park High	N	09,10,11,12	2764	N/A	N/A	687	24.86	N	Not Title I						2015-2016	N
600	Mecklenburg County	600464	Myers Park Traditional	N	0K,01,02,03,04,05	721	N/A	N/A	179	24.83	N	Not Title I						2015-2016	N
650	New Hanover County	650351	Myrtle Grove Middle	N	06,07,08	796	235	1.6	376	47.24	Y	SW-SW					2010-2011	2015-2016	N
490	Iredell County	490345	N B Mills Elementary	N	PK,0K,01,02,03,04,05	443	N/A	N/A	423	95.49	Y	SW-SW					2005-2006	2015-2016	N
170	Caswell County	170338	N L Dillard Middle	N	06,07,08	688	N/A	N/A	462	67.15	N	SW						2015-2016	N
280	Dare County	280310	Nags Head Elementary School	N	PK,0K,01,02,03,04,05	594	N/A	N/A	264	44.44	Y	SW-SW					2006-2007	2015-2016	N
240	Columbus County	240368	Nakina Middle	N	06,07,08	209	96	1.6	154	73.68	Y	SW-SW					2009-2010	2015-2016	Y
850	Stokes County	850328	Nancy Reynolds Elementary	N	0K,01,02,03,04,05	204	N/A	N/A	133	65.20	Y	SW-SW					2006-2007	2015-2016	N
560	Macon County	560332	Nantahala School	N	0K,01,02,03,04,05,06,07,08,09,10,11,12	92	N/A	N/A	71	77.17	Y	SW-SW					2006-2007	2015-2016	N
640	Nash-Rocky Mount	640346	Nash Central High	N	09,10,11,12	1029	N/A	N/A	634	61.61	N	SW						2015-2016	N
640	Nash-Rocky Mount	640320	Nash Central Middle	N	06,07,08	602	N/A	N/A	359	59.63	N	SW						2015-2016	N
640	Nash-Rocky Mount	640348	Nashville Elementary	N	PK,0K,01,02,03,04,05	754	N/A	N/A	437	57.96	Y	SW-SW					2006-2007	2015-2016	N
410	Guilford County	410481	Nathanael Greene Elementary	N	0K,01,02,03,04,05	248	N/A	N/A	77	31.05	N	Not Title I						2015-2016	N
600	Mecklenburg County	600468	Nathaniel Alexander Elementary	N	PK,0K,01,02,03,04,05	898	N/A	N/A	482	53.67	Y	SW-SW					2009-2010	2015-2016	Y
600	Mecklenburg County	600471	Nations Ford Elementary	N	PK,0K,01,02,03,04,05	788	N/A	N/A	486	61.68	Y	SW-SW					2004-2005	2015-2016	Y
00A	NC Connections Academy	00A000	NC Connections Academy	Y	0K,01,02,03,04,05,06,07,08,09	1496	N/A	N/A	747	49.93	Y	SW-SW					2015-2016	2015-2016	N
00B	NC Virtual Academy	00B000	NC Virtual Academy	Y	0K,01,02,03,04,05,06,07,08,09,10	1500	N/A	N/A	668	44.53	Y	SW-TAS			668	0K,01,02,03,04,05,06,07,08,09,10	2015-2016	2015-2016	N
320	Durham Public	320355	Neal Middle	N	06,07,08	867	N/A	N/A	708	81.66	Y	SW-SW					2010-2011	2015-2016	N
590	McDowell County	590332	Nebo Elementary	N	PK,0K,01,02,03,04,05	433	227	1.6	363	83.83	Y	SW-SW					2006-2007	2015-2016	Y
920	Wake County	920348	Needham Broughton High	N	09,10,11,12	2076	N/A	N/A	759	36.56	N	TAS						2015-2016	N
110	Buncombe County	110500	Nesbitt Discovery Academy	N	09,10	98	N/A	N/A	30	30.61	N	Not Title I						2015-2016	N
51A	Neuse Charter School	51A000	Neuse Charter School	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	861	N/A	N/A	199	23.11	Y	TAS-TAS	Charter School		40	03,04,05,06,07,08	2014-2015	2015-2016	N
250	Craven County	250356	New Bern High	N	09,10,11,12	1312	N/A	N/A	615	46.88	N	SW						2015-2016	N
670	Onslow County	670331	New Bridge Middle	N	06,07,08	505	N/A	N/A	165	32.67	N	Not Title I						2015-2016	N
260	Cumberland County	260403	New Century International Elementary	N	PK,0K,01,02,03,04,05	734	N/A	N/A	341	46.46	Y	SW-SW					2011-2012	2015-2016	N
260	Cumberland County	260417	New Century International Middle	N	06,07,08	407	N/A	N/A	192	47.17	N	SW						2015-2016	N
630	Moore County	630331	New Century Middle	N	06,07,08	600	N/A	N/A	198	33.00	N	Not Title I						2015-2016	N
12A	New Dimensions	12A000	New Dimensions	Y	0K,01,02,03,04,05,06,07,08	240	N/A	N/A	123	51.25	Y	SW-TAS			43	0K,01,02,03,04,05	2011-2012	2015-2016	N
650	New Hanover County	650352	New Hanover High	N	09,10,11,12	1566	603	1.6	965	61.62	N	SW						2015-2016	N
360	Gaston County	360464	New Hope Elementary	N	0K,01,02,03,04,05	540	N/A	N/A	166	30.74	N	Not Title I						2015-2016	N
680	Orange County	680330	New Hope Elementary	N	PK,0K,01,02,03,04,05	654	N/A	N/A	392	59.94	Y	SW-SW					2009-2010	2015-2016	N
910	Vance County	910340	New Hope Elementary	N	PK,0K,01,02,03,04,05	177	N/A	N/A	126	71.19	Y	SW-SW					2005-2006	2015-2016	Y
980	Wilson County	980360	New Hope Elementary	N	0K,01,02,03,04,05	514	135	1.6	216	42.02	N	SW						2015-2016	Y
760	Randolph County	760336	New Market Elementary	N	0K,01,02,03,04,05	472	N/A	N/A	264	55.93	Y	SW-SW					2010-2011	2015-2016	N
900	Union County	900340	New Salem Elementary	N	PK,0K,01,02,03,04,05	306	N/A	N/A	96	31.37	N	Not Title I						2015-2016	N
900	Union County	900305	New Town Elementary	N	PK,0K,01,02,03,04,05	1011	N/A	N/A	67	6.63	N	Not Title I						2015-2016	N
790	Rockingham County	790362	New Vision Sch.of Math/Sci/Tec	N	0K,01,02,03,04,05	307	N/A	N/A	80	26.06	N	Not Title I						2015-2016	Y
600	Mecklenburg County	600474	Newell Elementary	N	0K,01,02,03,04,05	831	N/A	N/A	509	61.25	Y	SW-SW					2006-2007	2015-2016	Y
060	Avery County	060328	Newland Elementary	N	PK,0K,01,02,03,04,05	284	N/A	N/A	207	72.89	Y	SW-SW					2005-2006	2015-2016	N
160	Carteret County	160324	Newport Elementary	N	PK,0K,01,02,03,04,05	737	N/A	N/A	463	62.82	Y	SW-SW					2006-2007	2015-2016	N
160	Carteret County	160326	Newport Middle	N	06,07,08	458	N/A	N/A	250	54.59	N	SW						2015-2016	N
182	Newton-Conover	182316	Newton-Conover High	N	09,10,11,12	781	N/A	N/A	458	58.64	N	SW						2015-2016	N
182	Newton-Conover	182321	Newton-Conover Middle	N	06,07,08	673	N/A	N/A	446	66.27	N	SW						2015-2016	N
491	Mooresville City	491305	NF Woods Adv Tech and Arts Center	N	09,10,11,12	0	N/A	N/A	0	0.00	N	Not Title I						2015-2016	N
761	Asheboro City	761336	North Asheboro Middle	N	06,07,08	527	N/A	N/A	454	86.15	Y	SW-SW					2015-2016	2015-2016	N
360	Gaston County	360468	North Belmont Elementary	N	PK,0K,01,02,03,04,05	411	215	1.6	344	83.70	Y	SW-SW					2009-2010	2015-2016	Y
550	Lincoln County	550342	North Brook Elementary	N	PK,0K,01,02,03,04,05	385	173	1.6	277	71.95	Y	SW-SW					2005-2006	2015-2016	N
100	Brunswick County	100326	North Brunswick High	N	09,10,11,12	995	N/A	N/A	589	59.20	N	SW						2015-2016	N
110	Buncombe County	110379	North Buncombe Elementary	N	0K,01,02,03,04	672	N/A	N/A	396	58.93	Y	SW-SW					2006-2007	2015-2016	N
110	Buncombe County	110380	North Buncombe High	N	09,10,11,12	1059	N/A	N/A	429	40.51	N	SW						2015-2016	N
110	Buncombe County	110381	North Buncombe Middle	N	07,08	607	N/A	N/A	302	49.75	N	SW						2015-2016	N
440	Haywood County	440368	North Canton Elementary	N	PK,0K,01,02,03,04,05	369	N/A	N/A	261	70.73	Y	SW-SW					2006-2007	2015-2016	N
190	Chatham County	190341	North Chatham Elementary	N	PK,0K,01,02,03,04,05	549	N/A	N/A	227	41.35	Y	SW-SW					2013-2014	2015-2016	N
590	McDowell County	590336	North Cove Elementary	N	PK,0K,01,02,03,04,05	260	115	1.6	184	70.77	Y	SW-SW					2006-2007	2015-2016	Y
290	Davidson County	290348	North Davidson High	N	09,10,11,12	1219	N/A	N/A	362	29.70	N	Not Title I						2015-2016	N
290	Davidson County	290350	North Davidson Middle	N	06,07,08	779	N/A	N/A	307	39.41	N	TAS						2015-2016	N
300	Davie County	300325	North Davie Middle	N	06,07,08	444	N/A	N/A	184	41.44	N	SW						2015-2016	N
960	Wayne County	960390	North Drive Elementary	N	PK,0K,01,02,03,04	503	425	1.6	503	100.00	Y	SW-SW					2002-2003	2015-2016	Y
310	Duplin County	310360	North Duplin Elementary	N	PK,0K,01,02,03,04,05,06	713	N/A	N/A	500	70.13	Y	SW-SW					2004-2005	2015-2016	N
310	Duplin County	310364	North Duplin Jr Sr High	N	07,08,09,10,11,12	542	N/A	N/A	276	50.92	Y	SW-SW					2015-2016	2015-2016	N
33A	North East Carolina Prep	33A000	North East Carolina Prep	Y	0K,01,02,03,04,05,06,07,08,09,10,11	1144	N/A	N/A	789	68.97	Y	SW-SW					2012-2013	2015-2016	N
330	Edgecombe County	330328	North Edgecombe High	N	09,10,11,12	230	N/A	N/A	126	54.78	Y	SW-SW					2013-2014	2015-2016	Y
170	Caswell County	170334	North Elementary	N	PK,0K,01,02,03,04,05	447	249	1.6	398	89.04	Y	SW-SW					2006-2007	2015-2016	Y
230	Cleveland County	230357	North Elementary	N	PK,0K,01,02,03,04	270	N/A	N/A	193	71.48	Y	SW-SW					2006-2007	2015-2016	N
