Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	830LEA	E		0.19	0.75	0.227	0.43
0-3 Years	2016	830LEA	H		0.252	0.75	0.231	0.43
0-3 Years	2016	830LEA	M		0.37	0.75	0.244	0.43
0-3 Years	2016	830LEA	T		0.091	0.75	0.253	0.43
0-3 Years	2016	840LEA	E		0.102	0.429	0.227	0.43
0-3 Years	2016	840LEA	H		0.213	0.429	0.231	0.43
0-3 Years	2016	840LEA	I			0.429	0.255	0.43
0-3 Years	2016	840LEA	M		0.178	0.429	0.244	0.43
0-3 Years	2016	840LEA	T			0.429	0.253	0.43
0-3 Years	2016	850LEA	E		0.167	0.474	0.227	0.43
0-3 Years	2016	850LEA	H		0.234	0.474	0.231	0.43
0-3 Years	2016	850LEA	M		0.229	0.474	0.244	0.43
0-3 Years	2016	850LEA	T		0.2	0.474	0.253	0.43
0-3 Years	2016	860LEA	E		0.175	0.368	0.227	0.43
0-3 Years	2016	860LEA	H		0.182	0.368	0.231	0.43
0-3 Years	2016	860LEA	M		0.141	0.368	0.244	0.43
0-3 Years	2016	861LEA	E		0.087	0.667	0.227	0.43
0-3 Years	2016	861LEA	H		0.1	0.667	0.231	0.43
0-3 Years	2016	861LEA	M		0.071	0.667	0.244	0.43
0-3 Years	2016	862LEA	E		0.118	0.5	0.227	0.43
0-3 Years	2016	862LEA	H		0.316	0.5	0.231	0.43
0-3 Years	2016	862LEA	M		0.296	0.5	0.244	0.43
0-3 Years	2016	870LEA	A		0.25	0.75	0.227	0.43
0-3 Years	2016	870LEA	E		0.286	0.75	0.227	0.43
0-3 Years	2016	870LEA	H		0.167	0.75	0.231	0.43
0-3 Years	2016	870LEA	I			0.75	0.255	0.43
0-3 Years	2016	870LEA	M		0.189	0.75	0.244	0.43
0-3 Years	2016	880LEA	E		0.241	0.556	0.227	0.43
0-3 Years	2016	880LEA	H		0.14	0.556	0.231	0.43
0-3 Years	2016	880LEA	M		0.186	0.556	0.244	0.43
